date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:51	121976/121976	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:33:51%20GMT	http://elezioni2018.comune.venezia.it/risultati/451/A/30243	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/451/A/30243.html	(from http://elezioni2018.comune.venezia.it/)
11:33:54	121937/121937	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:33:54%20GMT	http://elezioni2018.comune.venezia.it/risultati/451/A/30245	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/451/A/30245.html	(from http://elezioni2018.comune.venezia.it/)
11:33:55	121937/121937	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:33:56%20GMT	http://elezioni2018.comune.venezia.it/risultati/451/A/30247	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/451/A/30247.html	(from http://elezioni2018.comune.venezia.it/)
11:33:57	121975/121975	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:33:57%20GMT	http://elezioni2018.comune.venezia.it/risultati/451/A/30249	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/451/A/30249.html	(from http://elezioni2018.comune.venezia.it/)
11:33:58	121953/121953	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:33:58%20GMT	http://elezioni2018.comune.venezia.it/risultati/451/A/30251	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/451/A/30251.html	(from http://elezioni2018.comune.venezia.it/)
11:34:00	121933/121933	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:34:00%20GMT	http://elezioni2018.comune.venezia.it/risultati/451/A/30253	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/451/A/30253.html	(from http://elezioni2018.comune.venezia.it/)
11:34:01	121811/121811	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:34:01%20GMT	http://elezioni2018.comune.venezia.it/risultati/451/S/1	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/451/S/1.html	(from http://elezioni2018.comune.venezia.it/)
11:34:02	86815/86815	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:34:02%20GMT	http://elezioni2018.comune.venezia.it/mappa-voto-risultati-senato.php	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/mappa-voto-risultati-senato.html	(from http://elezioni2018.comune.venezia.it/)
11:34:04	121901/121901	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:34:04%20GMT	http://elezioni2018.comune.venezia.it/risultati/447/A/30241	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/447/A/30241.html	(from http://elezioni2018.comune.venezia.it/)
11:34:05	121799/121799	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:34:06%20GMT	http://elezioni2018.comune.venezia.it/risultati/447/A/20201	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/447/A/20201.html	(from http://elezioni2018.comune.venezia.it/)
11:34:07	121776/121776	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:34:07%20GMT	http://elezioni2018.comune.venezia.it/risultati/447/A/20202	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/447/A/20202.html	(from http://elezioni2018.comune.venezia.it/)
11:34:08	121883/121883	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:34:08%20GMT	http://elezioni2018.comune.venezia.it/risultati/447/A/20203	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/447/A/20203.html	(from http://elezioni2018.comune.venezia.it/)
11:34:09	121816/121816	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:34:10%20GMT	http://elezioni2018.comune.venezia.it/risultati/447/A/30243	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/447/A/30243.html	(from http://elezioni2018.comune.venezia.it/)
11:34:11	121782/121782	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:34:11%20GMT	http://elezioni2018.comune.venezia.it/risultati/447/A/30245	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/447/A/30245.html	(from http://elezioni2018.comune.venezia.it/)
11:34:12	121784/121784	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:34:13%20GMT	http://elezioni2018.comune.venezia.it/risultati/447/A/30247	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/447/A/30247.html	(from http://elezioni2018.comune.venezia.it/)
11:34:14	121818/121818	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:34:14%20GMT	http://elezioni2018.comune.venezia.it/risultati/447/A/30249	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/447/A/30249.html	(from http://elezioni2018.comune.venezia.it/)
11:34:16	121798/121798	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:34:16%20GMT	http://elezioni2018.comune.venezia.it/risultati/447/A/30251	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/447/A/30251.html	(from http://elezioni2018.comune.venezia.it/)
11:34:17	121779/121779	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:34:17%20GMT	http://elezioni2018.comune.venezia.it/risultati/447/A/30253	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/447/A/30253.html	(from http://elezioni2018.comune.venezia.it/)
11:34:19	121655/121655	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:34:19%20GMT	http://elezioni2018.comune.venezia.it/risultati/447/S/1	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/risultati/447/S/1.html	(from http://elezioni2018.comune.venezia.it/)
11:34:20	86815/86815	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jun%202018%2009:34:20%20GMT	http://elezioni2018.comune.venezia.it/mappa-voto-risultati-camera.php	C:/Mie%20pagine%20Web/MATURITA/elezioni%202018/elezioni2018.comune.venezia.it/mappa-voto-risultati-camera.html	(from http://elezioni2018.comune.venezia.it/)
